"iso3c","indicator_date","input_var","nada_dates"
"AFG",2003,"2003",NA
"AGO",2019,"2019",NA
"ALB",1998,"1998, 2012, 2020",NA
"ALB",2012,"1998, 2012, 2020",NA
"ALB",2020,"1998, 2012, 2020",NA
"AND",-99,NA,NA
"ARE",-99,NA,NA
"ARG",2002,"2002, 2008, 2018",NA
"ARG",2008,"2002, 2008, 2018",NA
"ARG",2018,"2002, 2008, 2018",NA
"ARM",2014,"2014","2014"
"ATG",2001,"2001, 2007",NA
"ATG",2007,"2001, 2007",NA
"AUS",2001,"2001, 2010, 2015",NA
"AUS",2010,"2001, 2010, 2015",NA
"AUS",2015,"2001, 2010, 2015",NA
"AUT",1999,"1999, 2010, 2020",NA
"AUT",2010,"1999, 2010, 2020",NA
"AUT",2020,"1999, 2010, 2020",NA
"AZE",2005,"2005, 2015",NA
"AZE",2015,"2005, 2015",NA
"BDI",-99,NA,NA
"BEL",1999,"1999, 2003, 2005, 2007, 2010, 2016, 2020",NA
"BEL",2003,"1999, 2003, 2005, 2007, 2010, 2016, 2020",NA
"BEL",2005,"1999, 2003, 2005, 2007, 2010, 2016, 2020",NA
"BEL",2007,"1999, 2003, 2005, 2007, 2010, 2016, 2020",NA
"BEL",2010,"1999, 2003, 2005, 2007, 2010, 2016, 2020",NA
"BEL",2016,"1999, 2003, 2005, 2007, 2010, 2016, 2020",NA
"BEL",2020,"1999, 2003, 2005, 2007, 2010, 2016, 2020",NA
"BEN",2019,"2019",NA
"BFA",2010,"2010",NA
"BGD",1996,"1996, 2005, 2008, 2019",NA
"BGD",2005,"1996, 2005, 2008, 2019",NA
"BGD",2008,"1996, 2005, 2008, 2019",NA
"BGD",2019,"1996, 2005, 2008, 2019","2019"
"BGR",2010,"2010, 2020",NA
"BGR",2020,"2010, 2020",NA
"BHR",-99,NA,NA
"BHS",-99,NA,NA
"BIH",-99,NA,NA
"BLR",2019,"2019",NA
"BLZ",2011,"2011, 2018",NA
"BLZ",2018,"2011, 2018",NA
"BOL",2013,"2013",NA
"BRA",1996,"1996, 2006, 2017",NA
"BRA",2006,"1996, 2006, 2017",NA
"BRA",2017,"1996, 2006, 2017",NA
"BRB",-99,NA,NA
"BRN",-99,NA,NA
"BTN",2000,"2000, 2009, 2019",NA
"BTN",2009,"2000, 2009, 2019",NA
"BTN",2019,"2000, 2009, 2019",NA
"BWA",2004,"2004, 2015",NA
"BWA",2015,"2004, 2015",NA
"CAF",-99,NA,NA
"CAN",2001,"2001, 2011, 2016, 2021",NA
"CAN",2011,"2001, 2011, 2016, 2021",NA
"CAN",2016,"2001, 2011, 2016, 2021",NA
"CAN",2021,"2001, 2011, 2016, 2021",NA
"CHE",2000,"2000, 2010, 2020",NA
"CHE",2010,"2000, 2010, 2020",NA
"CHE",2020,"2000, 2010, 2020",NA
"CHL",1997,"1997, 2007, 2021",NA
"CHL",2007,"1997, 2007, 2021",NA
"CHL",2021,"1997, 2007, 2021",NA
"CHN",1997,"1997, 2007, 2016",NA
"CHN",2007,"1997, 2007, 2016",NA
"CHN",2016,"1997, 2007, 2016",NA
"CIV",2001,"2001, 2015",NA
"CIV",2015,"2001, 2015",NA
"CMR",-99,NA,NA
"COD",-99,NA,NA
"COG",2015,"2015",NA
"COL",2001,"2001, 2014",NA
"COL",2014,"2001, 2014","2014"
"COM",2004,"2004",NA
"CPV",2004,"2004, 2015",NA
"CPV",2015,"2004, 2015",NA
"CRI",2014,"2014",NA
"CYP",2003,"2003, 2010, 2020",NA
"CYP",2010,"2003, 2010, 2020",NA
"CYP",2020,"2003, 2010, 2020",NA
"CZE",2000,"2000, 2010, 2020",NA
"CZE",2010,"2000, 2010, 2020",NA
"CZE",2020,"2000, 2010, 2020",NA
"DEU",1999,"1999, 2010, 2020",NA
"DEU",2010,"1999, 2010, 2020",NA
"DEU",2020,"1999, 2010, 2020",NA
"DJI",-99,NA,NA
"DMA",-99,NA,NA
"DNK",1999,"1999, 2010, 2020",NA
"DNK",2010,"1999, 2010, 2020",NA
"DNK",2020,"1999, 2010, 2020",NA
"DOM",-99,NA,NA
"DZA",2001,"2001",NA
"ECU",0,NA,"0"
"ECU",2000,"2000",NA
"EGY",2000,"2000, 2010",NA
"EGY",2010,"2000, 2010",NA
"ERI",-99,NA,NA
"ESP",1999,"1999, 2009, 2020",NA
"ESP",2009,"1999, 2009, 2020",NA
"ESP",2020,"1999, 2009, 2020",NA
"EST",2001,"2001, 2010, 2020",NA
"EST",2010,"2001, 2010, 2020",NA
"EST",2020,"2001, 2010, 2020",NA
"ETH",2002,"2002",NA
"FIN",1999,"1999, 2010, 2020",NA
"FIN",2010,"1999, 2010, 2020",NA
"FIN",2020,"1999, 2010, 2020",NA
"FJI",2009,"2009, 2020",NA
"FJI",2020,"2009, 2020",NA
"FRA",1999,"1999, 2010, 2020",NA
"FRA",2010,"1999, 2010, 2020",NA
"FRA",2020,"1999, 2010, 2020",NA
"FSM",2016,"2016",NA
"GAB",2020,"2020",NA
"GBR",1999,"1999, 2010, 2021",NA
"GBR",2010,"1999, 2010, 2021",NA
"GBR",2021,"1999, 2010, 2021",NA
"GEO",2004,"2004, 2014",NA
"GEO",2014,"2004, 2014",NA
"GHA",2018,"2018",NA
"GIN",2001,"2001",NA
"GMB",2002,"2002, 2012",NA
"GMB",2012,"2002, 2012",NA
"GNB",-99,NA,NA
"GNQ",2015,"2015",NA
"GRC",2000,"2000, 2010, 2020",NA
"GRC",2010,"2000, 2010, 2020",NA
"GRC",2020,"2000, 2010, 2020",NA
"GRD",2012,"2012",NA
"GTM",2003,"2003",NA
"GUY",-99,NA,NA
"HND",-99,NA,NA
"HRV",2003,"2003, 2010, 2020",NA
"HRV",2010,"2003, 2010, 2020",NA
"HRV",2020,"2003, 2010, 2020",NA
"HTI",2009,"2009",NA
"HUN",2000,"2000, 2010, 2020",NA
