country,indicator_date,ihsn_dates,ihsn_title
Albania,2009,"2009, 2010, 2011, 2012, 2013, 2017",Labour Force Survey 2009; Labour Force Survey 2010; Labour Force Survey 2011; Labour Force Survey 2012; Labour Force Survey 2013; Labour Force Survey 2017
Albania,2010,"2009, 2010, 2011, 2012, 2013, 2017",Labour Force Survey 2009; Labour Force Survey 2010; Labour Force Survey 2011; Labour Force Survey 2012; Labour Force Survey 2013; Labour Force Survey 2017
Albania,2011,"2009, 2010, 2011, 2012, 2013, 2017",Labour Force Survey 2009; Labour Force Survey 2010; Labour Force Survey 2011; Labour Force Survey 2012; Labour Force Survey 2013; Labour Force Survey 2017
Albania,2012,"2009, 2010, 2011, 2012, 2013, 2017",Labour Force Survey 2009; Labour Force Survey 2010; Labour Force Survey 2011; Labour Force Survey 2012; Labour Force Survey 2013; Labour Force Survey 2017
Albania,2013,"2009, 2010, 2011, 2012, 2013, 2017",Labour Force Survey 2009; Labour Force Survey 2010; Labour Force Survey 2011; Labour Force Survey 2012; Labour Force Survey 2013; Labour Force Survey 2017
Albania,2017,"2009, 2010, 2011, 2012, 2013, 2017",Labour Force Survey 2009; Labour Force Survey 2010; Labour Force Survey 2011; Labour Force Survey 2012; Labour Force Survey 2013; Labour Force Survey 2017
Argentina,2013,"2013, 2014, 2015","Encuesta Permanente de Hogares Continua 2013, Cuarto Trimestre; Encuesta Permanente de Hogares Continua 2014, Cuarto Trimestre; Encuesta Permanente de Hogares Continua 2015, Primer Trimestre"
Argentina,2014,"2013, 2014, 2015","Encuesta Permanente de Hogares Continua 2013, Cuarto Trimestre; Encuesta Permanente de Hogares Continua 2014, Cuarto Trimestre; Encuesta Permanente de Hogares Continua 2015, Primer Trimestre"
Argentina,2015,"2013, 2014, 2015","Encuesta Permanente de Hogares Continua 2013, Cuarto Trimestre; Encuesta Permanente de Hogares Continua 2014, Cuarto Trimestre; Encuesta Permanente de Hogares Continua 2015, Primer Trimestre"
Armenia,2006,"2006, 2007, 2008, 2014, 2015, 2016, 2017","Labor Force Survey 2006; Labor Migration Survey 2007, Migration Statistics; Labour Force Survey 2008; Labor Force Survey 2014; Labor Force Survey 2015; Labour Force Survey 2016; Labor Force Survey 2017"
Armenia,2007,"2006, 2007, 2008, 2014, 2015, 2016, 2017","Labor Force Survey 2006; Labor Migration Survey 2007, Migration Statistics; Labour Force Survey 2008; Labor Force Survey 2014; Labor Force Survey 2015; Labour Force Survey 2016; Labor Force Survey 2017"
Armenia,2008,"2006, 2007, 2008, 2014, 2015, 2016, 2017","Labor Force Survey 2006; Labor Migration Survey 2007, Migration Statistics; Labour Force Survey 2008; Labor Force Survey 2014; Labor Force Survey 2015; Labour Force Survey 2016; Labor Force Survey 2017"
Armenia,2014,"2006, 2007, 2008, 2014, 2015, 2016, 2017","Labor Force Survey 2006; Labor Migration Survey 2007, Migration Statistics; Labour Force Survey 2008; Labor Force Survey 2014; Labor Force Survey 2015; Labour Force Survey 2016; Labor Force Survey 2017"
Armenia,2015,"2006, 2007, 2008, 2014, 2015, 2016, 2017","Labor Force Survey 2006; Labor Migration Survey 2007, Migration Statistics; Labour Force Survey 2008; Labor Force Survey 2014; Labor Force Survey 2015; Labour Force Survey 2016; Labor Force Survey 2017"
Armenia,2016,"2006, 2007, 2008, 2014, 2015, 2016, 2017","Labor Force Survey 2006; Labor Migration Survey 2007, Migration Statistics; Labour Force Survey 2008; Labor Force Survey 2014; Labor Force Survey 2015; Labour Force Survey 2016; Labor Force Survey 2017"
Armenia,2017,"2006, 2007, 2008, 2014, 2015, 2016, 2017","Labor Force Survey 2006; Labor Migration Survey 2007, Migration Statistics; Labour Force Survey 2008; Labor Force Survey 2014; Labor Force Survey 2015; Labour Force Survey 2016; Labor Force Survey 2017"
Aruba,1997,1997,Labor Force Survey 1997
Australia,2001,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015",Household Income and Labour Dynamics in Australia 2001 - Wave I; Household Income and Labour Dynamics in Australia 2002 - Wave II; Household Income and Labour Dynamics in Australia 2003 - Wave III; Household Income and Labour Dynamics in Australia 2004 - Wave IV; Household Income and Labour Dynamics in Australia 2005 - Wave V; Household Income and Labour Dynamics in Australia 2006 - Wave VI; Household Income and Labour Dynamics in Australia 2007 - Wave VII; Household Income and Labour Dynamics in Australia 2008 - Wave VIII; Household Income and Labour Dynamics in Australia 2009 - Wave IX; Household Income and Labour Dynamics in Australia 2010 - Wave X; Household Income and Labour Dynamics in Australia 2011- Wave XI; Household Income and Labour Dynamics in Australia 2012 - Wave XII; Household Income and Labour Dynamics in Australia 2013 - Wave XIII; Household Income and Labour Dynamics in Australia 2014 - Wave XIV; Household Income and Labour Dynamics in Australia 2015 - Wave XV
