"id","idno","title","nation","authoring_entity","year_start","year_end","created","changed"
7924,"AFG_2021_LFS_v01_M_ILO_VAR","Labour Force Survey 2021","Afghanistan","National Statistics and Information Authority",2021,2021,"Jul-25-22","Jul-25-22"
7925,"AFG_2020_LFS_v01_M_ILO_VAR","Labour Force Survey 2020","Afghanistan","National Statistics and Information Authority",2020,2020,"Jul-25-22","Jul-25-22"
7902,"ALB_2019_LFS_v01_M_ILO_VAR","Labour Force Survey 2019","Albania","Institute of statistics (INSTAT)",2019,2019,"Jul-25-22","Jul-25-22"
7903,"ALB_2018_LFS_v01_M_ILO_VAR","Labour Force Survey 2018","Albania","Institute of statistics (INSTAT)",2018,2018,"Jul-25-22","Jul-25-22"
7904,"ALB_2017_LFS_v01_M_ILO_VAR","Labour Force Survey 2017","Albania","Institute of statistics (INSTAT)",2017,2017,"Jul-25-22","Jul-25-22"
7905,"ALB_2016_LFS_v01_M_ILO_VAR","Labour Force Survey 2016","Albania","Institute of statistics (INSTAT)",2016,2016,"Jul-25-22","Jul-25-22"
7906,"ALB_2015_LFS_v01_M_ILO_VAR","Labour Force Survey 2015","Albania","Institute of statistics (INSTAT)",2015,2015,"Jul-25-22","Jul-25-22"
7907,"ALB_2014_LFS_v01_M_ILO_VAR","Labour Force Survey 2014","Albania","Institute of statistics (INSTAT)",2014,2014,"Jul-25-22","Jul-25-22"
7908,"ALB_2013_LFS_v01_M_ILO_VAR","Labour Force Survey 2013","Albania","Institute of statistics (INSTAT)",2013,2013,"Jul-25-22","Jul-25-22"
7909,"ALB_2012_LFS_v01_M_ILO_VAR","Labour Force Survey 2012","Albania","Institute of statistics (INSTAT)",2012,2012,"Jul-25-22","Jul-25-22"
7910,"ALB_2011_LFS_v01_M_ILO_VAR","Labour Force Survey 2011","Albania","Institute of statistics (INSTAT)",2011,2011,"Jul-25-22","Jul-25-22"
7911,"ALB_2010_LFS_v01_M_ILO_VAR","Labour Force Survey 2010","Albania","Institute of statistics (INSTAT)",2010,2010,"Jul-25-22","Jul-25-22"
7912,"ALB_2009_LFS_v01_M_ILO_VAR","Labour Force Survey 2009","Albania","Institute of statistics (INSTAT)",2009,2009,"Jul-25-22","Jul-25-22"
7913,"ALB_2008_LFS_v01_M_ILO_VAR","Labour Force Survey 2008","Albania","Institute of statistics (INSTAT)",2008,2008,"Jul-25-22","Jul-25-22"
7914,"ALB_2007_LFS_v01_M_ILO_VAR","Labour Force Survey 2007","Albania","Institute of statistics (INSTAT)",2007,2007,"Jul-25-22","Jul-25-22"
