"country","iso3c","date","SPI.INDEX.PIL1","SPI.INDEX.PIL2","SPI.INDEX.PIL3","SPI.INDEX.PIL4","SPI.INDEX.PIL5","SPI.INDEX","SPI.DIM1.5.INDEX","SPI.DIM2.1.INDEX","SPI.DIM2.2.INDEX","SPI.DIM2.4.INDEX","SPI.DIM3.1.INDEX","SPI.DIM3.2.INDEX","SPI.DIM3.3.INDEX","SPI.DIM3.4.INDEX","SPI.DIM4.1.CEN.INDEX","SPI.DIM4.1.SVY.INDEX","SPI.DIM4.2.INDEX","SPI.DIM4.3.INDEX","SPI.DIM5.1.INDEX","SPI.DIM5.2.INDEX","SPI.DIM5.5.INDEX","SPI.D1.5.POV","SPI.D1.5.CHLD.MORT","SPI.D1.5.DT.TDS.DPPF.XP.ZS","SPI.D1.5.SAFE.MAN.WATER","SPI.D1.5.LFP","SPI.D2.1.GDDS","SPI.D2.2.Machine.readable","SPI.D2.2.Non.proprietary","SPI.D2.2.Download.options","SPI.D2.2.Metadata.available","SPI.D2.2.Terms.of.use","SPI.D2.2.Openness.subscore","SPI.D2.4.NADA","SPI.D3.1.POV","SPI.D3.2.HNGR","SPI.D3.3.HLTH","SPI.D3.4.EDUC","SPI.D3.5.GEND","SPI.D3.6.WTRS","SPI.D3.7.ENRG","SPI.D3.8.WORK","SPI.D3.9.INDY","SPI.D3.10.NEQL","SPI.D3.11.CITY","SPI.D3.12.CNSP","SPI.D3.15.LAND","SPI.D3.16.INST","SPI.D3.17.PTNS","SPI.D3.13.CLMT","SPI.D3.NA","SPI.D4.1.1.POPU","SPI.D4.1.2.AGRI","SPI.D4.1.3.BIZZ","SPI.D4.1.4.HOUS","SPI.D4.1.5.AGSVY","SPI.D4.1.6.LABR","SPI.D4.1.7.HLTH","SPI.D4.1.8.BZSVY","SPI.D4.2.3.CRVS","SPI.D4.3.GEO.first.admin.level","SPI.D5.1.DILG","SPI.D5.2.1.SNAU","SPI.D5.2.2.NABY","SPI.D5.2.3.CNIN","SPI.D5.2.4.CPIBY","SPI.D5.2.5.HOUS","SPI.D5.2.6.EMPL","SPI.D5.2.7.CGOV","SPI.D5.2.8.FINA","SPI.D5.2.9.MONY","SPI.D5.2.10.GSBP","SPI.D5.5.DIFI","income","region","weights","population"
,,,"Pillar 1  - Data Use - Score","Pillar 2 - Data Services - Score","Pillar 3 - Data Products - Score","Pillar 4 - Data Sources - Score","Pillar 5 - Data Infrastructure - Score","SPI Overall Score","Dimension 1.5: Data use by international organizations","Dimension 2.1: Data Releases","Dimension 2.2: Online access","Dimension 2.4: Data services","Dimension 3.1: Social Statistics","Dimension 3.2: Economic Statistics","Dimension 3.3: Environmental Statistics","Dimension 3.4: Institutional Statistics","Dimension 4.1: Censuses","Dimension 4.1: Surveys","Dimension 4.2: Administrative Data","Dimension 4.3: Geospatial Data","Dimension 5.1: Legislation and governance","Dimension 5.2: Standards and Methods","Dimension 5.5: Finance","Dimension 1.5: Data use by international organisations - Availability of Comparable Poverty headcount ratio at $2.15 a day","Dimension 1.5: Data use by international organisations - Availability of Mortality rate, under-5 (per 1,000 live births) data meeting quality standards according to UN IGME","Dimension 1.5: Data use by international organisations - Quality of Debt service data according to World Bank","Dimension 1.5: Data use by international organisations - Safely Managed Drinking Water","Dimension 1.5: Data use by international organisations - Labor force participation rate by sex and age (%)","Dimension 2.1: Data releases - SDDS/e-GDDS subscription","Dimension 2.2: Online access - Machine Readability Score","Dimension 2.2: Online access - Non-Proprietary format Score","Dimension 2.2: Online access - Download Options Score","Dimension 2.2: Online access - Metadata Available Score","Dimension 2.2: Online access - Terms of Use Score","Dimension 2.2: Online access - ODIN Open Data Openness score","Dimension 2.4: Data access services - NADA metadata","Dimension 3.1: SDG Goal 1 - GOAL 1: No Poverty","Dimension 3.2: SDG Goal 2 - GOAL 2: Zero Hunger","Dimension 3.3: SDG Goal 3 - GOAL 3: Good Health and Well-being","Dimension 3.4: SDG Goal 4 - GOAL 4: Quality Education","Dimension 3.5: SDG Goal 5 - GOAL 5: Gender Equality","Dimension 3.6: SDG Goal 6 - GOAL 6: Clean Water and Sanitation","Dimension 3.7: SDG Goal 7 - GOAL 7: Affordable and Clean Energy","Dimension 3.8: SDG Goal 8 - GOAL 8: Decent Work and Economic Growth","Dimension 3.9: SDG Goal 9 - GOAL 9: Industry, Innovation and Infrastructure","Dimension 3.10: SDG Goal 10 - GOAL 10: Reduced Inequality","Dimension 3.11: SDG Goal 11 - GOAL 11: Sustainable Cities and Communities","Dimension 3.12: SDG Goal 12 - GOAL 12: Responsible Consumption and Production","Dimension 3.15: SDG Goal 15 - GOAL 15: Life on Land","Dimension 3.16: SDG Goal 16 - GOAL 16: Peace and Justice Strong Institutions","Dimension 3.17: SDG Goal 17 - GOAL 17: Partnerships to achieve the Goal","Dimension 3.13: SDG Goal 13 - GOAL 13: Climate Action",,"Dimension 4.1: censuses and surveys - Population & Housing census","Dimension 4.1: censuses and surveys - Agriculture census","Dimension 4.1: censuses and surveys - Business/establishment census","Dimension 4.1: censuses and surveys - Household Survey on income, etc","Dimension 4.1: censuses and surveys - Agriculture survey","Dimension 4.1: censuses and surveys - Labor Force Survey","Dimension 4.1: censuses and surveys - Health/Demographic survey","Dimension 4.1: censuses and surveys - Business/establishment survey","Dimension 4.2: administrative data - CRVS (WDI)","Dimension 4.3: geospatial data - Geospatial data available at 1st Admin Level","Dimension 5.1: Legislation and governance - Legislation Indicator based on PARIS21 indicators on SDG 17.18.2","Dimension 5.2: standards - System of national accounts in use","Dimension 5.2: standards - National Accounts base year","Dimension 5.2: standards - Classification of national industry","Dimension 5.2: standards - CPI base year","Dimension 5.2: standards - Classification of household consumption","Dimension 5.2: standards - Classification of status of employment","Dimension 5.2: standards - Central government accounting status","Dimension 5.2: standards - Compilation of government finance statistics","Dimension 5.2: standards - Compilation of monetary and financial statistics","Dimension 5.2: standards - Business process","Dimension 5.5: Finance - Finance Indicator based on PARIS21 indicators on SDG 17.18.3 & SDG 17.19.1",,,,
"Norway","NOR","2024","100","98.5666666666666","84","88.15","100","94.1433333333333","1","1","0.957","1","0.9","0.8305","0.6665","0.862","1","1","1","0.526","1","1","1","1","1","1","1","1","1","1","1","0.967","0.817","1","0.957","1","0.8","0.8","0.8","1","1","1","0.833","1","0.9","0.75","0.5","1","0.833","0.857","0.867","0.5","0","1","1","1","1","1","1","1","1","1","0.526","1","1","1","1","1","1","1","1","1","1","1","1","High income","Europe & Central Asia","1","5572272"
"Sweden","SWE","2024","100","95.4","89.18125","88.725","90","92.66125","1","1","0.862","1","0.837833333333333","0.909666666666667","0.9585","0.9335","1","0.934","1","0.615","1","0.9","1","1","1","1","1","1","1","0.933","0.967","0.867","0.662","0.883","0.862","1","1","0.7","0.72","1","0.75","0.857","0.833","1","1","0.875","0.75","1","0.917","1","0.867","1","0","1","1","1","1","1","1","0.67","1","1","0.615","1","1","1","1","1","1","1","1","1","0","1","1","High income","Europe & Central Asia","1","10569709"
"Canada","CAN","2024","100","93.3","87.21875","91.275","90","92.35875","1","1","0.799","1","0.84","0.893","0.9165","0.862","1","1","1","0.651","1","0.9","1","1","1","1","1","1","1","0.867","1","0.8","0.843","0.483","0.799","1","1","0.8","0.8","0.833","0.75","0.857","0.833","1","0.9","0.875","0.75","1","0.833","0.857","0.867","1","0","1","1","1","1","1","1","1","1","1","0.651","1","1","1","1","0","1","1","1","1","1","1","1","High income","North America","1","41288599"
"Denmark","DNK","2024","100","97.8333333333333","87.74375","89.675","85","92.0504166666667","1","1","0.935","1","0.892833333333333","0.868","0.875","0.862","1","0.934","1","0.653","1","0.85","1","1","1","1","1","1","1","0.933","1","0.867","0.91","0.967","0.935","1","1","0.7","0.8","1","1","0.857","0.833","1","1","0.625","0.75","1","0.75","0.857","0.867","1","0","1","1","1","1","1","1","0.67","1","1","0.653","1","1","1","1","0.5","1","1","1","1","0","1","1","High income","Europe & Central Asia","1","5976992"
"Spain","ESP","2024","100","92.3333333333333","89.68125","92.1","85","91.8229166666667","1","1","0.77","1","0.851166666666667","0.909666666666667","0.9585","0.9335","1","1","1","0.684","1","0.85","1","1","1","1","1","1","1","0.917","1","0.712","0.769","0.452","0.77","1","1","0.7","0.8","1","0.75","0.857","0.833","1","1","0.875","0.75","1","0.917","1","0.867","1","0","1","1","1","1","1","1","1","1","1","0.684","1","1","1","1","0.5","1","1","1","1","0","1","1","High income","Europe & Central Asia","1","48807137"
"New Zealand","NZL","2024","100","94.9","83.11875","80.675","100","91.73875","1","1","0.847","1","0.717833333333333","0.868","0.9585","0.9335","1","1","1","0.227","1","1","1","1","1","1","1","1","1","0.933","1","0.71","0.614","0.976","0.847","1","0.8","0.7","0.76","0.833","0.5","0.714","0.833","1","1","0.625","0.75","1","0.917","1","0.867","1","0","1","1","1","1","1","1","1","1","1","0.227","1","1","1","1","1","1","1","1","1","1","1","1","High income","East Asia & Pacific","1","5338500"
"Korea, Rep.","KOR","2024","100","96.1","87.7125","79.025","95","91.5675","1","1","0.883","1","0.897833333333333","0.872166666666667","0.9165","0.7905","1","1","1","0.161","1","0.95","1","1","1","1","1","1","1","1","1","0.917","0.5","1","0.883","1","1","0.9","0.88","1","0.75","0.857","0.833","0.875","0.9","0.875","0.75","1","0.833","0.714","0.867","1","0","1","1","1","1","1","1","1","1","1","0.161","1","1","1","1","0.5","1","1","1","1","1","1","1","High income","East Asia & Pacific","1","51751065"
"Poland","POL","2024","100","99","82.20625","94.325","80","91.10625","1","1","0.97","1","0.841166666666667","0.851333333333333","0.7085","0.7905","1","1","1","0.773","1","0.8","1","1","1","1","1","1","1","1","1","0.96","0.912","0.976","0.97","1","0.8","0.8","0.84","1","0.75","0.857","0.833","1","0.9","0.875","0.5","1","0.917","0.714","0.867","0.5","0","1","1","1","1","1","1","1","1","1","0.773","1","1","1","1","0","1","1","1","1","0","1","1","High income","Europe & Central Asia","1","36554707"
"Slovenia","SVN","2024","100","98.5333333333333","88.025","83.875","85","91.0866666666667","1","1","0.956","1","0.827833333333333","0.888833333333333","0.9585","0.9335","1","0.934","1","0.421","1","0.85","1","1","1","1","1","1","1","0.967","1","0.91","0.919","0.983","0.956","1","1","0.6","0.76","1","0.75","0.857","0.833","1","1","0.75","0.75","1","0.917","1","0.867","1","0","1","1","1","1","1","1","0.67","1","1","0.421","1","1","1","1","0.5","1","1","1","1","0","1","1","High income","Europe & Central Asia","1","2126324"
